"Highest Max Temperature by Day for New York-Central Park Area, NY (ThreadEx)","Source: National Weather Service","https://www.weather.gov/wrh/Climate?wfo=okx",,,,,,,,,,,,,,,,,,,,,,
Day,Jan_T,Jan,Feb_T,Feb,Mar_T,Mar,Apr_T,Apr,May_T,May,Jun_T,Jun,Jul_T,Jul,Aug_T,Aug,Sep_T,Sep,Oct_T,Oct,Nov_T,Nov,Dec_T,Dec
1,62,1966,67,1989,73,1972,83,1917,87,2001,96,1895,100,1901,100,1933,97,1953,88,1927,84,1950,70,2006
2,68,1876,59,1988,72,1972,81,1967,90,2018,96,1895,100,1966,100,1955,102,1953,93,2019,83,1950,66,1970
3,64,2000,64,1991,65,1991,81,1981,92,2018,95,1895,103,1966,97,2005,99,1929,87,1919,79,2003,69,1998
4,66,1950,68,1991,70,1974,80,1892,92,2001,99,1925,102,1949,100,1944,97,1929,88,1941,78,1975,74,1998
5,64,1993,70,1991,72,1880,80,1928,90,1980,99,1925,101,1999,101,1944,94,1985,94,1941,78,1961,70,2001
6,72,2007,68,2008,68,1935,79,1947,92,1986,98,1925,103,2010,97,1955,97,1881,90,1941,74,2015,71,2001
7,64,1907,56,2020,74,1946,92,2010,93,2000,96,1925,100,2010,104,1918,101,1881,88,1944,78,1938,75,1998
8,65,1998,62,2017,76,1987,90,1991,91,2000,95,1933,100,1993,99,2001,97,2015,87,2007,76,1975,65,1927
9,64,2008,63,1990,77,2016,86,1991,94,1979,97,1933,106,1936,103,2001,94,1915,86,1916,75,2020,66,1966
10,60,1876,61,2001,79,2016,86,1922,94,1979,96,2008,102,1993,98,1949,97,1983,91,1939,74,2020,70,1946
11,69,2020,65,2009,73,1977,84,1955,92,1993,95,1973,98,1988,102,1944,99,1983,85,1949,74,1949,64,1879
12,68,2020,62,2018,71,2012,90,1977,93,1881,93,2017,99,1966,97,1944,94,1961,86,1954,76,1879,68,1931
13,68,1932,64,1951,85,1990,88,1977,89,1956,96,1961,101,1966,99,2005,94,1952,87,1954,73,1931,67,2015
14,70,1932,63,1946,75,1946,85,1941,88,1900,99,1956,100,1954,99,1988,93,1931,84,1920,72,1993,67,2015
15,67,1932,73,1949,77,1990,87,1941,90,1900,96,1994,102,1995,97,1988,92,1927,84,1956,80,1993,68,2015
16,58,1995,71,1954,82,1990,92,2002,90,1951,97,1891,99,1980,96,1944,93,1915,87,1897,72,1928,63,1971
17,63,1990,67,1976,75,1945,96,2002,92,1974,96,1957,100,1953,95,2015,93,1991,90,1938,71,1953,62,2000
18,66,1990,68,1981,77,2011,96,1976,92,2017,95,1929,101,1953,94,2002,91,1891,82,1928,73,1928,63,1984
19,64,1951,66,1997,76,1918,92,1976,99,1962,98,1994,102,1977,94,2002,94,1983,85,2016,72,1921,58,1931
20,62,1951,69,1939,83,1945,90,1927,96,1996,98,1923,101,1980,97,1955,93,1983,80,1969,77,1985,60,2002
21,63,2006,78,2018,84,1921,87,1923,93,1996,97,1988,104,1977,96,1955,95,1895,84,1920,74,1900,65,2013
22,61,1959,69,1997,78,2012,86,2001,96,1941,98,1988,104,2011,95,1916,95,1914,88,1979,72,1931,71,2013
23,63,1874,72,1874,76,2012,86,2007,94,1964,96,1888,100,2011,92,1916,97,1895,85,1947,72,1931,66,1990
24,68,1967,75,1985,76,1988,87,2001,93,1975,96,1888,97,2010,94,1972,91,2017,79,2001,73,1979,72,2015
25,60,1967,75,1930,79,1963,91,1915,95,1880,99,1952,97,1999,95,1948,90,1970,79,1963,73,1979,66,2015
26,72,1950,65,1890,82,2021,92,2009,95,1880,100,1952,98,1940,103,1948,91,1970,78,1964,67,1946,63,1982
27,69,1916,72,1997,83,1998,92,1915,96,1880,101,1966,98,1963,101,1948,90,1933,82,1963,72,1896,63,1949
28,66,1916,67,1976,84,1945,90,2009,94,1959,96,1991,97,1999,100,1948,88,1881,83,1919,70,2011,65,2008
29,69,2002,69,1880,86,1945,89,1974,97,1969,101,1934,99,1949,99,1953,88,1945,78,1971,69,1990,70,1984
30,64,2006,-,-,82,1998,91,1942,97,1987,99,1964,98,1988,98,1973,89,1986,82,1961,70,1991,65,1984
31,63,1947,-,-,86,1998,-,-,96,1939,-,-,102,1933,100,1953,-,-,81,1946,-,-,63,1965
